OPR_DT,day_of_month,Month,Day_of_week,OPR_HR,Fuel,Solar,Wind,Load,Import,Price,NODE
5/1/2018,1,5,3,1,3.01,0,651.75,8986.55,3587,16.3902,DLAP_PGE
5/1/2018,1,5,3,2,3.01,0,651.75,8986.55,3587,16.3902,DLAP_PGE
5/1/2018,1,5,3,3,3.01,0,611.15,8720.29,3536,12.5,DLAP_PGE
5/1/2018,1,5,3,4,3.01,0,593.68,8769.2,3524,12.38,DLAP_PGE
5/1/2018,1,5,3,5,3.01,0,590.87,8691.63,3273,17.83178,DLAP_PGE
5/1/2018,1,5,3,6,3.01,0,568.49,9356.96,3395,33.34823,DLAP_PGE
5/1/2018,1,5,3,7,3.01,50.27,562.13,10225.14,3239,40.13133,DLAP_PGE
5/1/2018,1,5,3,8,3.01,430.21,495.03,10857.9,2932,32.63149,DLAP_PGE
5/1/2018,1,5,3,9,3.01,750.64,399.45,10527.27,1663,27.59632,DLAP_PGE
5/1/2018,1,5,3,10,3.01,829.11,343.52,10393.98,1996,19.77456,DLAP_PGE
5/1/2018,1,5,3,11,3.01,873.73,310.59,10328.39,1905,17.17533,DLAP_PGE
5/1/2018,1,5,3,12,3.01,935.09,296.15,10243.19,1815,15.53661,DLAP_PGE
5/1/2018,1,5,3,13,3.01,937.98,272.55,10083.71,1761,15.27321,DLAP_PGE
5/1/2018,1,5,3,14,3.01,928.42,279.62,10134.76,1797,15.37401,DLAP_PGE
5/1/2018,1,5,3,15,3.01,896.16,292.75,10326.78,1828,15.67855,DLAP_PGE
5/1/2018,1,5,3,16,3.01,862.52,351.22,10458.21,1931,17.18775,DLAP_PGE
5/1/2018,1,5,3,17,3.01,746.77,434.09,10739.63,1807,24.32923,DLAP_PGE
5/1/2018,1,5,3,18,3.01,621.06,492.17,11127.41,2404,28.12419,DLAP_PGE
5/1/2018,1,5,3,19,3.01,332.31,581.23,11519.86,3313,33.05151,DLAP_PGE
5/1/2018,1,5,3,20,3.01,33.87,708.94,11825.8,3437,41.11637,DLAP_PGE
5/1/2018,1,5,3,21,3.01,0,794.99,12307.9,3452,49.98016,DLAP_PGE
5/1/2018,1,5,3,22,3.01,0,919.56,12005.5,3416,38.84068,DLAP_PGE
5/1/2018,1,5,3,23,3.01,0,986.01,10841.72,3165,26.53109,DLAP_PGE
5/1/2018,1,5,3,24,3.01,0,972.57,10020.2,2931,25.11268,DLAP_PGE
5/2/2018,2,5,4,1,3.14,0,906.7,9798.66,3089.75,16.87049,DLAP_PGE
5/2/2018,2,5,4,2,3.14,0,784.42,9161.64,3117,16.39,DLAP_PGE
5/2/2018,2,5,4,3,3.14,0,663.8,9135.66,3203,15.12766,DLAP_PGE
5/2/2018,2,5,4,4,3.14,0,549.99,8784.06,3219,14.86769,DLAP_PGE
5/2/2018,2,5,4,5,3.14,0,419.71,9067.84,3261,17.83,DLAP_PGE
5/2/2018,2,5,4,6,3.14,0,381.06,9482.59,3410,31.39337,DLAP_PGE
5/2/2018,2,5,4,7,3.14,67.31,350.56,10466.68,3396,39.68259,DLAP_PGE
5/2/2018,2,5,4,8,3.14,545.6,333.37,11220.89,2765,31.04368,DLAP_PGE
5/2/2018,2,5,4,9,3.14,1004.15,277.34,10910.56,2114,27.8128,DLAP_PGE
5/2/2018,2,5,4,10,3.14,1128.1,197.2,10752.17,1931,25.82816,DLAP_PGE
5/2/2018,2,5,4,11,3.14,1179.2,140.79,10693.85,1928,24.44063,DLAP_PGE
5/2/2018,2,5,4,12,3.14,1204.26,123.09,10541.89,1910,20.64148,DLAP_PGE
5/2/2018,2,5,4,13,3.14,1201.97,113.88,10380.41,1999,19.39325,DLAP_PGE
5/2/2018,2,5,4,14,3.14,1188.98,124.49,10404.02,1819,19.06735,DLAP_PGE
5/2/2018,2,5,4,15,3.14,1184.38,218.74,10780.94,1880,18.56703,DLAP_PGE
5/2/2018,2,5,4,16,3.14,1164.74,374.64,10902.13,1753,16.94516,DLAP_PGE
5/2/2018,2,5,4,17,3.14,1090.92,599.92,11168.54,1833,21.2671,DLAP_PGE
5/2/2018,2,5,4,18,3.14,934.5,754.84,11521.74,2135,26.69002,DLAP_PGE
5/2/2018,2,5,4,19,3.14,505.22,861.73,11867.2,3234.65,30.84599,DLAP_PGE
5/2/2018,2,5,4,20,3.14,53.56,926.65,12125.31,3765,47.42193,DLAP_PGE
5/2/2018,2,5,4,21,3.14,0,908.77,12549.51,3854,58.99962,DLAP_PGE
5/2/2018,2,5,4,22,3.14,0,901.48,12209.14,3630,43.64499,DLAP_PGE
5/2/2018,2,5,4,23,3.14,0,879.05,11004.5,3463,30.44599,DLAP_PGE
5/2/2018,2,5,4,24,3.14,0,890.74,10177.87,3221,22.08762,DLAP_PGE
5/3/2018,3,5,5,1,3.21,0,922.43,9535.36,3351,19.01241,DLAP_PGE
5/3/2018,3,5,5,2,3.21,0,911.71,9128.15,3342,16.30345,DLAP_PGE
5/3/2018,3,5,5,3,3.21,0,884.72,8858.82,3244,14.536,DLAP_PGE
5/3/2018,3,5,5,4,3.21,0,843.85,8735.43,3343,14.59472,DLAP_PGE
5/3/2018,3,5,5,5,3.21,0,805.62,8804.45,3252,17.87068,DLAP_PGE
5/3/2018,3,5,5,6,3.21,0,754,9423.73,3613,33.7645,DLAP_PGE
5/3/2018,3,5,5,7,3.21,83.59,711.03,10290.7,3620,45.01731,DLAP_PGE
5/3/2018,3,5,5,8,3.21,617.63,649.67,10986.26,2702,29.24,DLAP_PGE
5/3/2018,3,5,5,9,3.21,1072.37,609.83,10793.29,1734,23.38061,DLAP_PGE
5/3/2018,3,5,5,10,3.21,1159.35,549.91,10631.85,1445,21.56505,DLAP_PGE
5/3/2018,3,5,5,11,3.21,1200.74,484.63,10623.47,1439,16.93047,DLAP_PGE
5/3/2018,3,5,5,12,3.21,1216.02,452.84,10511.09,1579,16.59254,DLAP_PGE
5/3/2018,3,5,5,13,3.21,1215.5,454.28,10437.48,1622,15.61583,DLAP_PGE
5/3/2018,3,5,5,14,3.21,1219.42,471.34,10536.32,1626,15.87657,DLAP_PGE
5/3/2018,3,5,5,15,3.21,1212.31,472.01,10872.82,1762,16.19512,DLAP_PGE
5/3/2018,3,5,5,16,3.21,1196.17,489.65,11064.06,1825,17.31746,DLAP_PGE
5/3/2018,3,5,5,17,3.21,1161.22,509.18,11358.67,1988,17.52128,DLAP_PGE
5/3/2018,3,5,5,18,3.21,1031.25,555.13,11570.71,2344,24.02411,DLAP_PGE
5/3/2018,3,5,5,19,3.21,548.56,585.81,11890.2,3465,33.4183,DLAP_PGE
5/3/2018,3,5,5,20,3.21,62.46,634.36,12116.64,3654,43.35435,DLAP_PGE
5/3/2018,3,5,5,21,3.21,0,708.19,12528.99,3716,59.3275,DLAP_PGE
