OPR_DT,day_of_month,Month,Day_of_week,OPR_HR,Fuel,Solar,Wind,Load,Import,Price,Node
5/1/2018,1,5,3,2,3.84,0,2686.56,8744.49,5140,16.17984,DLAP_SCE
5/1/2018,1,5,3,3,3.84,0,2675.74,8541.6,4911,12.30011,DLAP_SCE
5/1/2018,1,5,3,4,3.84,0,2596.29,8504.25,4872,12.18326,DLAP_SCE
5/1/2018,1,5,3,5,3.84,0,2465.78,8720.91,5125,17.63645,DLAP_SCE
5/1/2018,1,5,3,6,3.84,0.63,2376.52,9204.95,5711,32.9895,DLAP_SCE
5/1/2018,1,5,3,7,3.84,408.11,2329.91,10103.89,5858.68,40.58598,DLAP_SCE
5/1/2018,1,5,3,8,3.84,2493.44,2254.63,10589.78,5149,32.44129,DLAP_SCE
5/1/2018,1,5,3,9,3.84,4504.21,2195.62,11102.17,4184,26.32829,DLAP_SCE
5/1/2018,1,5,3,10,3.84,5222.84,2164.33,11300.45,4069,26.9,DLAP_SCE
5/1/2018,1,5,3,11,3.84,5652.74,2187.66,11546.36,4039.7,25.31,DLAP_SCE
5/1/2018,1,5,3,12,3.84,5863.08,2235.77,11607.8,3726.7,27.82516,DLAP_SCE
5/1/2018,1,5,3,13,3.84,5761.05,2298.29,11665.34,3722.7,22.57,DLAP_SCE
5/1/2018,1,5,3,14,3.84,5681.8,2349.97,11606.7,3712.7,24.28719,DLAP_SCE
5/1/2018,1,5,3,15,3.84,5573.34,2354,11551.71,3847.7,22.71,DLAP_SCE
5/1/2018,1,5,3,16,3.84,5139.07,2365.51,11254.6,4026.7,16.55754,DLAP_SCE
5/1/2018,1,5,3,17,3.84,4487.18,2394.25,11066.84,4254.7,23.53692,DLAP_SCE
5/1/2018,1,5,3,18,3.84,3295.17,2310.87,11072.48,4578.7,27.50086,DLAP_SCE
5/1/2018,1,5,3,19,3.84,1275.88,2201.15,11281.98,5822.7,32.7694,DLAP_SCE
5/1/2018,1,5,3,20,3.84,101.06,2042.16,11760.02,6319.92,50.28247,DLAP_SCE
5/1/2018,1,5,3,21,3.84,0,1992.42,12245.71,6480.11,61.38304,DLAP_SCE
5/1/2018,1,5,3,22,3.84,0,1883.47,11666.98,6313.33,49.64809,DLAP_SCE
5/1/2018,1,5,3,23,3.84,0,1792.48,10632.79,6227.83,36.75128,DLAP_SCE
5/1/2018,1,5,3,24,3.84,0,1790.19,9723.7,5597.7,26.6055,DLAP_SCE
5/2/2018,2,5,4,1,3.65,0,1853.89,9153.1,5284,21.45372,DLAP_SCE
5/2/2018,2,5,4,2,3.65,0,1763.39,8762.68,5223,18.4531,DLAP_SCE
5/2/2018,2,5,4,3,3.65,0,1743.84,8503.93,4971,15.34679,DLAP_SCE
5/2/2018,2,5,4,4,3.65,0,1675.48,8439.97,4967,14.78876,DLAP_SCE
5/2/2018,2,5,4,5,3.65,0,1582.29,8664.71,5216,19.13875,DLAP_SCE
5/2/2018,2,5,4,6,3.65,0.96,1539.1,9180.97,5698,31.10243,DLAP_SCE
5/2/2018,2,5,4,7,3.65,421.06,1474.63,10005.81,6010,39.59688,DLAP_SCE
5/2/2018,2,5,4,8,3.65,2412.21,1404.09,10417.23,5208,31.5377,DLAP_SCE
5/2/2018,2,5,4,9,3.65,4248.11,1215.42,10907.6,3502,28.29207,DLAP_SCE
5/2/2018,2,5,4,10,3.65,5032.53,1118.64,11161.11,3506,29.38,DLAP_SCE
5/2/2018,2,5,4,11,3.65,5365.83,1055.06,11479.78,3488,27.96,DLAP_SCE
5/2/2018,2,5,4,12,3.65,5529.42,1053.14,11550.94,3602,34.56422,DLAP_SCE
5/2/2018,2,5,4,13,3.65,5510.06,1058.79,11668.15,3633,24.74696,DLAP_SCE
5/2/2018,2,5,4,14,3.65,5404.81,1042.72,11636.81,3592,26.71,DLAP_SCE
5/2/2018,2,5,4,15,3.65,5279.11,1153.48,11616.56,3655,22.71231,DLAP_SCE
