OPR_DT,day_of_month,Month,Day_of_week,OPR_HR,Fuel,Solar,Wind,Load,Import,Price,Node
5/1/2018,1,5,3,2,3.88,0,2686.56,19513.32,8502,15.8276,DLAP_VEA
5/1/2018,1,5,3,3,3.88,0,2675.74,19007.1,8216,12.03566,DLAP_VEA
5/1/2018,1,5,3,4,3.88,0,2596.29,19007.27,8159,11.93979,DLAP_VEA
5/1/2018,1,5,3,5,3.88,0,2465.78,19188.58,8173,17.27065,DLAP_VEA
5/1/2018,1,5,3,6,3.88,0.63,2376.52,20469.74,8881,32.15579,DLAP_VEA
5/1/2018,1,5,3,7,3.88,408.11,2329.91,22445.92,8887.68,36.35995,DLAP_VEA
5/1/2018,1,5,3,8,3.88,2493.44,2254.63,23643.49,7949,30.16936,DLAP_VEA
5/1/2018,1,5,3,9,3.88,4504.21,2195.62,23795.88,5819,25.52478,DLAP_VEA
5/1/2018,1,5,3,10,3.88,5222.84,2164.33,23779.91,6060,17.0366,DLAP_VEA
5/1/2018,1,5,3,11,3.88,5652.74,2187.66,23851.45,5946.7,14.4733,DLAP_VEA
5/1/2018,1,5,3,12,3.88,5863.08,2235.77,23731.08,5540.7,12.55722,DLAP_VEA
5/1/2018,1,5,3,13,3.88,5761.05,2298.29,23573.27,5486.7,13.0133,DLAP_VEA
5/1/2018,1,5,3,14,3.88,5681.8,2349.97,23545.01,5515.7,12.9216,DLAP_VEA
5/1/2018,1,5,3,15,3.88,5573.34,2354,23689.49,5684.7,13.45749,DLAP_VEA
5/1/2018,1,5,3,16,3.88,5139.07,2365.51,23606.53,5964.7,15.96703,DLAP_VEA
5/1/2018,1,5,3,17,3.88,4487.18,2394.25,23817.62,5991.7,22.61053,DLAP_VEA
5/1/2018,1,5,3,18,3.88,3295.17,2310.87,24385.32,6861.7,26.52497,DLAP_VEA
5/1/2018,1,5,3,19,3.88,1275.88,2201.15,25144.19,8870.7,31.80358,DLAP_VEA
5/1/2018,1,5,3,20,3.88,101.06,2042.16,26118.38,9425.92,41.5709,DLAP_VEA
5/1/2018,1,5,3,21,3.88,0,1992.42,27115.47,9601.11,46.51133,DLAP_VEA
5/1/2018,1,5,3,22,3.88,0,1883.47,26088.88,9448.33,41.10568,DLAP_VEA
5/1/2018,1,5,3,23,3.88,0,1792.48,23652.56,9142.83,35.12443,DLAP_VEA
5/1/2018,1,5,3,24,3.88,0,1790.19,21728.55,8303.7,25.8925,DLAP_VEA
5/2/2018,2,5,4,1,3.69,0,1853.89,20787.73,8148.75,20.71378,DLAP_VEA
5/2/2018,2,5,4,2,3.69,0,1763.39,19685.44,8113,17.88003,DLAP_VEA
5/2/2018,2,5,4,3,3.69,0,1743.84,19369.89,7932,14.99216,DLAP_VEA
5/2/2018,2,5,4,4,3.69,0,1675.48,18943.34,7948,14.47149,DLAP_VEA
5/2/2018,2,5,4,5,3.69,0,1582.29,19499.91,8252,18.61863,DLAP_VEA
5/2/2018,2,5,4,6,3.69,0.96,1539.1,20569.76,8883,30.32346,DLAP_VEA
5/2/2018,2,5,4,7,3.69,421.06,1474.63,22580.13,9169,35.42051,DLAP_VEA
5/2/2018,2,5,4,8,3.69,2412.21,1404.09,23806.61,7883,28.21352,DLAP_VEA
5/2/2018,2,5,4,9,3.69,4248.11,1215.42,23949.04,5609,25.80963,DLAP_VEA
5/2/2018,2,5,4,10,3.69,5032.53,1118.64,23961.44,5460,22.74357,DLAP_VEA
5/2/2018,2,5,4,11,3.69,5365.83,1055.06,24117.68,5440,21.75933,DLAP_VEA
5/2/2018,2,5,4,12,3.69,5529.42,1053.14,23957.39,5546,17.11665,DLAP_VEA
5/2/2018,2,5,4,13,3.69,5510.06,1058.79,23869.47,5665,17.0153,DLAP_VEA
5/2/2018,2,5,4,14,3.69,5404.81,1042.72,23856.51,5445,16.66703,DLAP_VEA
5/2/2018,2,5,4,15,3.69,5279.11,1153.48,24226.12,5559,16.62611,DLAP_VEA
5/2/2018,2,5,4,16,3.69,5021.91,1444.42,24180.27,5398,15.15813,DLAP_VEA
5/2/2018,2,5,4,17,3.69,4518.32,1700.33,24321.9,5456,20.14734,DLAP_VEA
5/2/2018,2,5,4,18,3.69,3552.95,1757.87,24755.23,6222,24.86245,DLAP_VEA
5/2/2018,2,5,4,19,3.69,1442.36,1761.4,25324.83,8447.65,29.09053,DLAP_VEA
5/2/2018,2,5,4,20,3.69,114.57,1735.97,26287.32,9177,29.69424,DLAP_VEA
5/2/2018,2,5,4,21,3.69,0,1769.44,27177.3,9442,31.70873,DLAP_VEA
5/2/2018,2,5,4,22,3.69,0,1791.97,26134.32,9077,30.48724,DLAP_VEA
5/2/2018,2,5,4,23,3.69,0,1864.73,23716.34,9242,22.51757,DLAP_VEA
5/2/2018,2,5,4,24,3.69,0,1873.64,21816.09,8363,20.84031,DLAP_VEA
5/3/2018,3,5,5,1,3.86,0,1978.32,20639.84,8428,18.28277,DLAP_VEA
5/3/2018,3,5,5,2,3.86,0,1796.44,19781.28,8341,15.785,DLAP_VEA
5/3/2018,3,5,5,3,3.86,0,1687.06,19254.03,8187,14.07699,DLAP_VEA
5/3/2018,3,5,5,4,3.86,0,1518.39,19049.08,8294,14.14812,DLAP_VEA
5/3/2018,3,5,5,5,3.86,0,1373.06,19381.06,8245,17.36049,DLAP_VEA
5/3/2018,3,5,5,6,3.86,2.17,1097.68,20669.79,8983,28.90457,DLAP_VEA
5/3/2018,3,5,5,7,3.86,630.65,811.02,22464.76,8834,29.56291,DLAP_VEA
5/3/2018,3,5,5,8,3.86,3326.2,565.88,23648.52,7619.21,26.72559,DLAP_VEA
5/3/2018,3,5,5,9,3.86,5739.37,285.57,23706.76,5869,20.82765,DLAP_VEA
5/3/2018,3,5,5,10,3.86,6535.85,144.28,23584.94,5484,18.56993,DLAP_VEA
5/3/2018,3,5,5,11,3.86,6996.29,124.69,23714.67,5674,14.12366,DLAP_VEA
5/3/2018,3,5,5,12,3.86,7107.4,121.42,23663.95,5829,12.97057,DLAP_VEA
5/3/2018,3,5,5,13,3.86,7111.46,113.79,23652.04,5868,13.40174,DLAP_VEA
5/3/2018,3,5,5,14,3.86,7106.92,112,23802.71,5791,12.87181,DLAP_VEA
5/3/2018,3,5,5,15,3.86,7050.05,140.3,24244.28,6008,13.2626,DLAP_VEA
5/3/2018,3,5,5,16,3.86,6756.86,241.49,24524.33,6108,14.24694,DLAP_VEA
5/3/2018,3,5,5,17,3.86,6179.26,410.61,24941.26,6257,14.24342,DLAP_VEA
5/3/2018,3,5,5,18,3.86,4812.84,674.46,25197.76,6826,20.89647,DLAP_VEA
5/3/2018,3,5,5,19,3.86,2064.17,901.03,25704.55,8406,27.74851,DLAP_VEA
5/3/2018,3,5,5,20,3.86,203.51,1112.11,26418.16,8825,38.03495,DLAP_VEA
5/3/2018,3,5,5,21,3.86,0,1132.02,27337.63,8962,43.14659,DLAP_VEA
5/3/2018,3,5,5,22,3.86,0,1083.86,26408.42,8804,35.32612,DLAP_VEA
5/3/2018,3,5,5,23,3.86,0,1004.78,24021.33,8634.42,28.14796,DLAP_VEA
5/3/2018,3,5,5,24,3.86,0,932.5,22200.01,8529,28.42659,DLAP_VEA
5/4/2018,4,5,6,1,3.31,0,964.81,20884.53,8234,21.64119,DLAP_VEA
5/4/2018,4,5,6,2,3.31,0,848.4,19959.47,8076,18.87827,DLAP_VEA
