OPR_DT,day_of_month,Month,Day_of_week,OPR_HR,Fuel,Solar,Wind,Load,Import,Price,Node
5/1/2018,1,5,3,2,3.14,0,784.42,9161.64,3117,11.59749,TH_NP15
5/1/2018,1,5,3,2,3.01,0,651.75,8986.55,3587,15.70241,TH_NP15
5/1/2018,1,5,3,3,3.01,0,611.15,8720.29,3536,11.16839,TH_NP15
5/1/2018,1,5,3,4,3.01,0,593.68,8769.2,3524,12.00496,TH_NP15
5/1/2018,1,5,3,5,3.01,0,590.87,8691.63,3273,17.28663,TH_NP15
5/1/2018,1,5,3,6,3.01,0,568.49,9356.96,3395,32.22555,TH_NP15
5/1/2018,1,5,3,7,3.01,50.27,562.13,10225.14,3239,38.63,TH_NP15
5/1/2018,1,5,3,8,3.01,430.21,495.03,10857.9,2932,31.45398,TH_NP15
5/1/2018,1,5,3,9,3.01,750.64,399.45,10527.27,1663,26.66198,TH_NP15
5/1/2018,1,5,3,10,3.01,829.11,343.52,10393.98,1996,18.79127,TH_NP15
5/1/2018,1,5,3,11,3.01,873.73,310.59,10328.39,1905,16.32336,TH_NP15
5/1/2018,1,5,3,12,3.01,935.09,296.15,10243.19,1815,14.75514,TH_NP15
5/1/2018,1,5,3,13,3.01,937.98,272.55,10083.71,1761,14.64568,TH_NP15
5/1/2018,1,5,3,14,3.01,928.42,279.62,10134.76,1797,14.71693,TH_NP15
5/1/2018,1,5,3,15,3.01,896.16,292.75,10326.78,1828,15.03401,TH_NP15
5/1/2018,1,5,3,16,3.01,862.52,351.22,10458.21,1931,16.5564,TH_NP15
5/1/2018,1,5,3,17,3.01,746.77,434.09,10739.63,1807,23.43203,TH_NP15
5/1/2018,1,5,3,18,3.01,621.06,492.17,11127.41,2404,26.72008,TH_NP15
5/1/2018,1,5,3,19,3.01,332.31,581.23,11519.86,3313,31.4845,TH_NP15
5/1/2018,1,5,3,20,3.01,33.87,708.94,11825.8,3437,38.36436,TH_NP15
5/1/2018,1,5,3,21,3.01,0,794.99,12307.9,3452,44.71824,TH_NP15
5/1/2018,1,5,3,22,3.01,0,919.56,12005.5,3416,35.59699,TH_NP15
5/1/2018,1,5,3,23,3.01,0,986.01,10841.72,3165,23.68169,TH_NP15
5/1/2018,1,5,3,24,3.01,0,972.57,10020.2,2931,21.58943,TH_NP15
5/2/2018,2,5,4,1,3.14,0,906.7,9798.66,3089.75,11.93022,TH_NP15
5/2/2018,2,5,4,2,3.14,0,784.42,9161.64,3117,11.59749,TH_NP15
5/2/2018,2,5,4,3,3.14,0,663.8,9135.66,3203,10.97081,TH_NP15
5/2/2018,2,5,4,4,3.14,0,549.99,8784.06,3219,11.24729,TH_NP15
5/2/2018,2,5,4,5,3.14,0,419.71,9067.84,3261,14.26664,TH_NP15
5/2/2018,2,5,4,6,3.14,0,381.06,9482.59,3410,29.05517,TH_NP15
5/2/2018,2,5,4,7,3.14,67.31,350.56,10466.68,3396,38.14093,TH_NP15
5/2/2018,2,5,4,8,3.14,545.6,333.37,11220.89,2765,29.86,TH_NP15
5/2/2018,2,5,4,9,3.14,1004.15,277.34,10910.56,2114,26.79373,TH_NP15
5/2/2018,2,5,4,10,3.14,1128.1,197.2,10752.17,1931,24.89598,TH_NP15
5/2/2018,2,5,4,11,3.14,1179.2,140.79,10693.85,1928,23.54817,TH_NP15
5/2/2018,2,5,4,12,3.14,1204.26,123.09,10541.89,1910,19.81502,TH_NP15
5/2/2018,2,5,4,13,3.14,1201.97,113.88,10380.41,1999,18.66575,TH_NP15
5/2/2018,2,5,4,14,3.14,1188.98,124.49,10404.02,1819,18.31448,TH_NP15
5/2/2018,2,5,4,15,3.14,1184.38,218.74,10780.94,1880,17.83755,TH_NP15
5/2/2018,2,5,4,16,3.14,1164.74,374.64,10902.13,1753,16.29902,TH_NP15
5/2/2018,2,5,4,17,3.14,1090.92,599.92,11168.54,1833,20.48832,TH_NP15
5/2/2018,2,5,4,18,3.14,934.5,754.84,11521.74,2135,25.65506,TH_NP15
5/2/2018,2,5,4,19,3.14,505.22,861.73,11867.2,3234.65,28.58318,TH_NP15
5/2/2018,2,5,4,20,3.14,53.56,926.65,12125.31,3765,44.28205,TH_NP15
5/2/2018,2,5,4,21,3.14,0,908.77,12549.51,3854,52.41818,TH_NP15
5/2/2018,2,5,4,22,3.14,0,901.48,12209.14,3630,37.20205,TH_NP15
5/2/2018,2,5,4,23,3.14,0,879.05,11004.5,3463,23.2569,TH_NP15
5/2/2018,2,5,4,24,3.14,0,890.74,10177.87,3221,15.69172,TH_NP15
5/3/2018,3,5,5,1,3.21,0,922.43,9535.36,3351,15.33368,TH_NP15
