OPR_DT,day_of_month,Month,Day_of_week,OPR_HR,Fuel,Solar,Load,Import,Price,Node
5/1/2018,1,5,3,2,3.01,0,19513.32,8502,15.40084,TH_ZP26
5/1/2018,1,5,3,3,3.01,0,19007.1,8216,10.40086,TH_ZP26
5/1/2018,1,5,3,4,3.01,0,19007.27,8159,11.83158,TH_ZP26
5/1/2018,1,5,3,5,3.01,0,19188.58,8173,17.06644,TH_ZP26
5/1/2018,1,5,3,6,3.01,0,20469.74,8881,31.91,TH_ZP26
5/1/2018,1,5,3,7,3.01,29.26,22445.92,8887.68,38.42095,TH_ZP26
5/1/2018,1,5,3,8,3.01,316.94,23643.49,7949,30.73081,TH_ZP26
5/1/2018,1,5,3,9,3.01,659.44,23795.88,5819,25.44692,TH_ZP26
5/1/2018,1,5,3,10,3.01,878.85,23779.91,6060,17.8997,TH_ZP26
5/1/2018,1,5,3,11,3.01,998.73,23851.45,5946.7,15.49655,TH_ZP26
5/1/2018,1,5,3,12,3.01,1120.8,23731.08,5540.7,13.94538,TH_ZP26
5/1/2018,1,5,3,13,3.01,1190.96,23573.27,5486.7,13.81268,TH_ZP26
5/1/2018,1,5,3,14,3.01,1172.58,23545.01,5515.7,13.89713,TH_ZP26
5/1/2018,1,5,3,15,3.01,1074.5,23689.49,5684.7,14.26841,TH_ZP26
5/1/2018,1,5,3,16,3.01,953.73,23606.53,5964.7,15.85699,TH_ZP26
5/1/2018,1,5,3,17,3.01,759.73,23817.62,5991.7,22.42477,TH_ZP26
5/1/2018,1,5,3,18,3.01,520.3,24385.32,6861.7,26.15473,TH_ZP26
5/1/2018,1,5,3,19,3.01,232.32,25144.19,8870.7,31.31688,TH_ZP26
5/1/2018,1,5,3,20,3.01,17.16,26118.38,9425.92,38.08388,TH_ZP26
5/1/2018,1,5,3,21,3.01,0,27115.47,9601.11,45.33471,TH_ZP26
5/1/2018,1,5,3,22,3.01,0,26088.88,9448.33,35.86516,TH_ZP26
5/1/2018,1,5,3,23,3.01,0,23652.56,9142.83,24.26036,TH_ZP26
5/1/2018,1,5,3,24,3.01,0,21728.55,8303.7,22.55426,TH_ZP26
5/2/2018,2,5,4,1,3.14,0,20787.73,8148.75,9.29974,TH_ZP26
5/2/2018,2,5,4,2,3.14,0,19685.44,8113,9.38847,TH_ZP26
5/2/2018,2,5,4,3,3.14,0,19369.89,7932,8.47,TH_ZP26
5/2/2018,2,5,4,4,3.14,0,18943.34,7948,9.07679,TH_ZP26
5/2/2018,2,5,4,5,3.14,0,19499.91,8252,11.91516,TH_ZP26
5/2/2018,2,5,4,6,3.14,0,20569.76,8883,28.02725,TH_ZP26
5/2/2018,2,5,4,7,3.14,46.36,22580.13,9169,38.00157,TH_ZP26
5/2/2018,2,5,4,8,3.14,440.79,23806.61,7883,29.3047,TH_ZP26
5/2/2018,2,5,4,9,3.14,982.65,23949.04,5609,26.18622,TH_ZP26
5/2/2018,2,5,4,10,3.14,1292.87,23961.44,5460,23.82624,TH_ZP26
5/2/2018,2,5,4,11,3.14,1464.9,24117.68,5440,22.55067,TH_ZP26
5/2/2018,2,5,4,12,3.14,1544.53,23957.39,5546,18.49093,TH_ZP26
5/2/2018,2,5,4,13,3.14,1551.9,23869.47,5665,17.68011,TH_ZP26
5/2/2018,2,5,4,14,3.14,1577.51,23856.51,5445,17.28931,TH_ZP26
5/2/2018,2,5,4,15,3.14,1543.03,24226.12,5559,16.89287,TH_ZP26
5/2/2018,2,5,4,16,3.14,1449.81,24180.27,5398,15.45923,TH_ZP26
